site_ref,site_name,site_lat,site_lon,site_alt,obs_source,obs_station_id,obs_station_url,obs_station_distance_m,obs_station_tier,obs_station_qc,obs_station_last_obs_epoch,generated_utc
pge:13050,Munjal,-33.791800,148.224000,330,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13230,S.E Khatabunda,-31.441100,152.412000,77,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13231,Long Flat,-31.435000,152.475000,225,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13237,Crookes Airstrip,-34.955800,147.540000,268,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13238,Tri Reserve,-34.788700,147.665000,320,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13239,Honeysuckle - Launch 3,-35.134931,148.322124,685,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13383,"Hinchcliffe's (Hart's, Flattop)",-28.071250,153.145540,527,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13384,Playgrounds,-26.759500,152.893000,367,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13404,NNE Heaton Lookout,-32.952990,151.459530,409,wu-pws,IBRUNK2,https://www.wunderground.com/dashboard/pws/IBRUNK2,1341,nearby,1,1788800896,2026-09-08T22:24:16Z
pge:13475,Coolawang,-35.638100,138.414000,20,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13476,Killarney - Queensland,-28.340200,152.295000,512,wu-pws,IKILLA10,https://www.wunderground.com/dashboard/pws/IKILLA10,794,nearby,-1,1788825088,2026-09-08T22:24:16Z
pge:13491,Table Rock,-33.700049,150.127290,836,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13667,The lighthouse,-28.641000,153.634000,49,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13673,Rylstone air port,-32.771500,149.998000,602,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13687,Manilla SkyRanch,-30.872400,150.542000,342,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13701,Dynamic Flight Park,-37.450000,143.457000,374,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13702,Mt Lonarch,-37.258590,143.339360,410,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13703,Birchip Tow Paddock,-35.815600,143.010000,91,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13704,Bells Beach - Winkipop,-38.365350,144.286040,30,wu-pws,IJANJU1,https://www.wunderground.com/dashboard/pws/IJANJU1,1534,nearby,1,1788822784,2026-09-08T22:24:16Z
pge:13715,Sunnyside,-38.202100,145.060960,27,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13824,Spion Kop / Fairhaven,-38.467400,144.075000,53,wu-pws,IFAIRH8,https://www.wunderground.com/dashboard/pws/IFAIRH8,351,nearby,-1,1788845696,2026-09-08T22:24:16Z
pge:13870,Ben Nevis,-37.229870,143.194790,410,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13967,Flaxton,-26.657700,152.880000,414,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:14014,Oil Refinery Cliffs (Hallett Cove),-35.089900,138.488000,42,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:14193,MURRELLS BEACH,-38.399200,141.528000,33,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:14196,Portland - Discovery Bay,-38.332300,141.398000,9,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:14223,Warriewood,-33.693550,151.310500,40,wu-pws,ISYDNE4395,https://www.wunderground.com/dashboard/pws/ISYDNE4395,419,nearby,-1,1788777088,2026-09-08T22:24:16Z
pge:14274,Portsea,-38.329810,144.695600,20,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:14586,Montes - Private Property - All pilots must be inducted and 'check-in' prior to entry.,-28.591130,153.464410,250,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:14602,Duck Pond (LIttle Bay),-30.889100,153.076000,23,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:14608,Marriners Lookout,-38.736960,143.667430,230,wu-pws,IAPOLL5,https://www.wunderground.com/dashboard/pws/IAPOLL5,921,nearby,1,1788850432,2026-09-08T22:24:16Z
